03/08/2025, 11:12 AM
Project Statistics

                 	Segments	   Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	 2066003	15709577	               67896778	              81475580	   204	
Remaining:       	 2066003	15709577	               67896778	              81475580	   204	
Unique:          	 2044856	15622449	               67533290	              81046426	   204	
Unique Remaining:	 2044856	15622449	               67533290	              81046426	   204	


Individual File Statistics:

File Name   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
part_1.txt  	          4206	              4206	           4155	                     4155	     107236	         107236	      107023	                107023	                       495256	                           495256	                        494275	                                  494275	                      592623	                          592623	                       591466	                                 591466	
part_10.txt 	         10419	             10419	          10371	                    10371	      89960	          89960	       89717	                 89717	                       415105	                           415105	                        414035	                                  414035	                      494361	                          494361	                       493096	                                 493096	
part_100.txt	         10358	             10358	          10304	                    10304	      88074	          88074	       87846	                 87846	                       388528	                           388528	                        387512	                                  387512	                      465925	                          465925	                       464734	                                 464734	
part_101.txt	         10381	             10381	          10215	                    10215	      72991	          72991	       72496	                 72496	                       323158	                           323158	                        321138	                                  321138	                      385625	                          385625	                       383281	                                 383281	
part_102.txt	         11180	             11180	          10867	                    10867	     110040	         110040	      108930	                108930	                       490293	                           490293	                        485883	                                  485883	                      588603	                          588603	                       583397	                                 583397	
part_103.txt	         10438	             10438	          10347	                    10347	      84868	          84868	       84552	                 84552	                       401114	                           401114	                        399761	                                  399761	                      475281	                          475281	                       473704	                                 473704	
part_104.txt	         10298	             10298	          10196	                    10196	      75849	          75849	       75382	                 75382	                       357696	                           357696	                        355477	                                  355477	                      422910	                          422910	                       420328	                                 420328	
part_105.txt	         10513	             10513	          10325	                    10325	      82633	          82633	       82053	                 82053	                       402079	                           402079	                        399317	                                  399317	                      473895	                          473895	                       470745	                                 470745	
part_106.txt	         10249	             10249	          10225	                    10225	      73985	          73985	       73901	                 73901	                       363551	                           363551	                        363140	                                  363140	                      426975	                          426975	                       426504	                                 426504	
part_107.txt	          9999	              9999	           9999	                     9999	      66097	          66097	       66097	                 66097	                       306316	                           306316	                        306316	                                  306316	                      362385	                          362385	                       362385	                                 362385	
part_108.txt	         10007	             10007	          10004	                    10004	      61825	          61825	       61809	                 61809	                       270122	                           270122	                        270065	                                  270065	                      321927	                          321927	                       321857	                                 321857	
part_109.txt	         10013	             10013	          10010	                    10010	      60712	          60712	       60699	                 60699	                       272238	                           272238	                        272184	                                  272184	                      322916	                          322916	                       322852	                                 322852	
part_11.txt 	         10244	             10244	          10139	                    10139	      73011	          73011	       72530	                 72530	                       297443	                           297443	                        295596	                                  295596	                      360086	                          360086	                       357862	                                 357862	
part_110.txt	         10002	             10002	          10000	                    10000	      63221	          63221	       63214	                 63214	                       288518	                           288518	                        288481	                                  288481	                      341720	                          341720	                       341678	                                 341678	
part_111.txt	         10011	             10011	          10009	                    10009	      62023	          62023	       62017	                 62017	                       283581	                           283581	                        283548	                                  283548	                      335578	                          335578	                       335541	                                 335541	
part_112.txt	         10305	             10305	          10238	                    10238	      77771	          77771	       77509	                 77509	                       370829	                           370829	                        369717	                                  369717	                      438028	                          438028	                       436718	                                 436718	
part_113.txt	         10030	             10030	          10018	                    10018	      66971	          66971	       66896	                 66896	                       290612	                           290612	                        290263	                                  290263	                      347216	                          347216	                       346804	                                 346804	
part_114.txt	         10064	             10064	          10030	                    10030	      65098	          65098	       64935	                 64935	                       269836	                           269836	                        269222	                                  269222	                      324753	                          324753	                       324013	                                 324013	
part_115.txt	         10005	             10005	           9996	                     9996	      65807	          65807	       65767	                 65767	                       279204	                           279204	                        279042	                                  279042	                      334916	                          334916	                       334723	                                 334723	
part_116.txt	         10038	             10038	          10027	                    10027	      69111	          69111	       69048	                 69048	                       292221	                           292221	                        291948	                                  291948	                      351207	                          351207	                       350880	                                 350880	
part_117.txt	         10072	             10072	          10029	                    10029	      61185	          61185	       61038	                 61038	                       270648	                           270648	                        269950	                                  269950	                      321677	                          321677	                       320875	                                 320875	
part_118.txt	         10407	             10407	          10281	                    10281	      78246	          78246	       77874	                 77874	                       357360	                           357360	                        355720	                                  355720	                      424567	                          424567	                       422683	                                 422683	
part_119.txt	         10565	             10565	          10434	                    10434	      87012	          87012	       86626	                 86626	                       423359	                           423359	                        421477	                                  421477	                      499537	                          499537	                       497401	                                 497401	
part_12.txt 	         10515	             10515	          10263	                    10263	      79054	          79054	       78286	                 78286	                       386594	                           386594	                        383212	                                  383212	                      454874	                          454874	                       450977	                                 450977	
part_120.txt	         10635	             10635	          10334	                    10334	      75459	          75459	       74604	                 74604	                       361108	                           361108	                        357228	                                  357228	                      425694	                          425694	                       421261	                                 421261	
part_121.txt	         10312	             10312	          10125	                    10125	      70093	          70093	       69480	                 69480	                       308940	                           308940	                        306075	                                  306075	                      368511	                          368511	                       365221	                                 365221	
part_122.txt	         10196	             10196	          10112	                    10112	      62450	          62450	       62127	                 62127	                       277049	                           277049	                        275681	                                  275681	                      329200	                          329200	                       327594	                                 327594	
part_123.txt	         10351	             10351	          10130	                    10130	      68159	          68159	       67373	                 67373	                       323561	                           323561	                        319932	                                  319932	                      380672	                          380672	                       376490	                                 376490	
part_124.txt	         10678	             10678	          10494	                    10494	     120423	         120423	      119623	                119623	                       598609	                           598609	                        595111	                                  595111	                      707946	                          707946	                       703836	                                 703836	
part_125.txt	         10193	             10193	          10159	                    10159	      83302	          83302	       83145	                 83145	                       375090	                           375090	                        374455	                                  374455	                      447999	                          447999	                       447241	                                 447241	
part_126.txt	         10181	             10181	          10149	                    10149	      88359	          88359	       88213	                 88213	                       417136	                           417136	                        416486	                                  416486	                      495019	                          495019	                       494255	                                 494255	
part_127.txt	         10283	             10283	          10244	                    10244	      94331	          94331	       94109	                 94109	                       441209	                           441209	                        440194	                                  440194	                      525003	                          525003	                       523804	                                 523804	
part_128.txt	         10297	             10297	          10260	                    10260	      94287	          94287	       94085	                 94085	                       433229	                           433229	                        432356	                                  432356	                      516986	                          516986	                       515949	                                 515949	
part_129.txt	         10312	             10312	          10279	                    10279	     100812	         100812	      100529	                100529	                       460586	                           460586	                        459302	                                  459302	                      550782	                          550782	                       549247	                                 549247	
part_13.txt 	         10402	             10402	          10252	                    10252	      78076	          78076	       77582	                 77582	                       369569	                           369569	                        367108	                                  367108	                      436965	                          436965	                       434161	                                 434161	
part_130.txt	         10204	             10204	          10162	                    10162	      91622	          91622	       91409	                 91409	                       430264	                           430264	                        429363	                                  429363	                      511377	                          511377	                       510305	                                 510305	
part_131.txt	         10283	             10283	          10238	                    10238	      89420	          89420	       89133	                 89133	                       420828	                           420828	                        419603	                                  419603	                      499798	                          499798	                       498331	                                 498331	
part_132.txt	         10211	             10211	          10171	                    10171	      91717	          91717	       91501	                 91501	                       428402	                           428402	                        427450	                                  427450	                      509656	                          509656	                       508528	                                 508528	
part_133.txt	         10348	             10348	          10319	                    10319	      94577	          94577	       94386	                 94386	                       433269	                           433269	                        432425	                                  432425	                      517355	                          517355	                       516349	                                 516349	
part_134.txt	         10355	             10355	          10277	                    10277	      94367	          94367	       93553	                 93553	                       412836	                           412836	                        409371	                                  409371	                      496641	                          496641	                       492441	                                 492441	
part_135.txt	         10345	             10345	          10199	                    10199	      77069	          77069	       76369	                 76369	                       357379	                           357379	                        354291	                                  354291	                      423485	                          423485	                       419847	                                 419847	
part_136.txt	         10068	             10068	          10044	                    10044	      63559	          63559	       63445	                 63445	                       297387	                           297387	                        296895	                                  296895	                      350699	                          350699	                       350115	                                 350115	
part_137.txt	         10032	             10032	          10021	                    10021	      62376	          62376	       62323	                 62323	                       287107	                           287107	                        286862	                                  286862	                      339399	                          339399	                       339112	                                 339112	
part_138.txt	         10032	             10032	          10024	                    10024	      68356	          68356	       68327	                 68327	                       306796	                           306796	                        306684	                                  306684	                      365056	                          365056	                       364921	                                 364921	
part_139.txt	         10068	             10068	          10033	                    10033	      56988	          56988	       56872	                 56872	                       277616	                           277616	                        276987	                                  276987	                      324499	                          324499	                       323789	                                 323789	
part_14.txt 	         10225	             10225	          10181	                    10181	      76595	          76595	       76371	                 76371	                       340053	                           340053	                        339063	                                  339063	                      406299	                          406299	                       405127	                                 405127	
part_140.txt	         10330	             10330	          10236	                    10236	      72260	          72260	       71809	                 71809	                       334116	                           334116	                        332034	                                  332034	                      395697	                          395697	                       393255	                                 393255	
part_141.txt	         10304	             10304	          10143	                    10143	      71149	          71149	       70418	                 70418	                       293696	                           293696	                        290704	                                  290704	                      354445	                          354445	                       350884	                                 350884	
part_142.txt	         10294	             10294	          10220	                    10220	      74072	          74072	       73745	                 73745	                       340783	                           340783	                        339354	                                  339354	                      404329	                          404329	                       402646	                                 402646	
part_143.txt	         10629	             10629	          10560	                    10560	      98131	          98131	       97746	                 97746	                       456127	                           456127	                        454412	                                  454412	                      543314	                          543314	                       541282	                                 541282	
